번호	항목명	입력 형식	필수	작성 기준	비고	작성 예	제출 증빙	확인	비고(기존)
1	제품 정보								
1.1	제품 또는 서비스명	텍스트	필수	기술 확인 대상 제품 또는 서비스의 공식 명칭을 작성한다.	약칭보다 공식 명칭 권장. 저작권 등록증 또는 제품 설명자료의 명칭과 일치 권장	Mediview AI 판독 보조 서비스	저작권등록증(사본), 제품설명서		
1.2	제품 버전	텍스트	필수	제출 대상 제품의 버전 또는 릴리스 식별자를 작성한다.	예: v2.1.0	v1.8.2-pilot			
1.3	제품 또는 서비스 제공 형태	선택	필수	제품이 제공되는 형태를 선택한다.	SaaS(클라우드 서비스형), 온프레미스(자체 구축형), 패키지/클라이언트 설치형, 기기 탑재, 기타(하이브리드형 등)	SaaS(클라우드 서비스형)			
1.3.1	기타 제공 형태	텍스트	조건부	기타(하이브리드형 등) 선택 시 제공 형태를 작성한다.	기타 선택 시 작성 가능	클라우드 SaaS와 병원 내 엣지 장비를 함께 사용하는 하이브리드형			
1.4	제품 개요	장문 텍스트	필수	제품의 목적, 주요 사용자, 핵심 기능을 요약한다.	3~5문장 권장	흉부 영상과 환자 생체 신호를 분석하여 이상 소견 후보를 표시하고, 의료진 검토용 요약 보고서를 생성하는 AI 기반 판독 보조 서비스입니다. 병원 PACS와 연동하여 검사 단위로 분석 결과를 제공합니다.	제품설명서 또는 제품매뉴얼		
1.4.1	제품 환경 정보	장문 텍스트	선택	제품이 운영 또는 시연되는 주요 환경 정보를 작성한다.	GPU, OS, 서버 사양, 컨테이너, 주요 런타임, 외부 연계 포함 권장	- 운영 형태: SaaS
- 서버/OS: AWS EC2 g5.xlarge, Ubuntu 22.04
- 연산 자원: NVIDIA A10G GPU 1대, CPU 4 vCPU, Memory 16GB
- 런타임: Docker, Python 3.12, PyTorch 2.6.0, CUDA 12.1
- 외부 연계: PACS, 병원 EMR, OpenAI API	시스템 구성 설명자료, 인프라 사양서, 배포 환경 캡처		
1.4.2	제품 구조도	파일	선택	제품 아키텍처 또는 구성도를 첨부한다. 검토 명세서와 최종 명세서에는 이미지로 표시한다.	JPG/PNG 1개, 최대 5MB, 권장 가로 1200~2000px	sample-product-architecture.png	제품 구조도 이미지		
1.5	AI 적용 목적	장문 텍스트	필수	AI를 통해 해결하려는 업무 목적 또는 활용 목적을 작성한다.	단순 기술명보다 업무 효과 중심	의료진이 대량의 영상 검사를 우선순위화하고 의심 병변을 빠르게 검토할 수 있도록 보조합니다.			
1.6	AI 적용 범위 요약	장문 텍스트	필수	AI가 실제로 수행하는 기능과 비AI 기능을 구분해 작성한다.	판단, 예측, 분류, 생성, 추천 등 명시	[AI 기능] 영상 내 이상 후보 탐지, 위험도 산정, 판독 초안 요약. [비AI 기능] 최종 진단, 처방 결정, 사용자 계정 관리.			
2	신청기업 정보								
2.1	기업명	텍스트	필수	신청기업의 법인명 또는 사업자명을 작성한다.	등기 또는 사업자등록 기준 권장	주식회사 메디테크랩	사업자등록증 또는 법인등기부등본		
2.2	사업자등록번호	텍스트	선택	사업자등록번호 10자리를 입력한다.	숫자 입력 시 000-00-00000 형식 자동 적용	123-45-67890			
2.3	대표자명	텍스트	선택	신청기업 대표자명을 작성한다.		김대표			
2.4	주소	자동 입력	선택	주소 검색을 통해 우편번호를 입력한다.	검색 버튼 사용	06236			
2.5	기본 주소	자동 입력	선택	주소 검색 결과의 도로명 또는 지번 주소를 사용한다.	직접 입력 불가	서울특별시 강남구 테헤란로 152			
2.6	상세 주소	텍스트	선택	건물명, 층, 호수 등 상세 주소를 작성한다.	주소 검색 후 직접 작성	15층 AI검증팀			
2.7	담당자명	텍스트	선택	신청서 작성 또는 보완 요청에 대응할 담당자명을 작성한다.	개인정보 수집 고지 필요 여부 검토	이담당			
2.8	연락처	텍스트	선택	담당자 연락처를 작성한다.	전화번호 형식 검증은 추후 정의	02-1234-5678			
2.9	이메일	이메일	선택	담당자 이메일 주소를 작성한다.	브라우저 기본 이메일 형식 적용	pilot@meditechlab.example			
3	AI 제품 분류								
3.1	AI 제품 분류	선택	필수	신청 제품의 대표 분류를 선택한다.	인공지능 소프트웨어, 인공지능 서비스, 인공지능 기기, 혼합형/기타	인공지능 서비스			
3.1.1	혼합형/기타 분류 설명	텍스트	조건부	혼합형/기타 선택 시 분류 내용을 작성한다.	기타 선택 시 작성 가능	AI 서비스와 온디바이스 기기 기능을 함께 제공			
4	AI 기능 목록								
4.1	번호	자동 표시	선택	AI 기능 목록의 행 순서를 표시한다.	05번 구현 상세와 자동 연동	1			
4.2	AI 기능명	텍스트	선택	제품 내 AI 기능을 식별할 수 있는 명칭을 작성한다.	05번 구현 상세와 자동 연동	흉부 영상 이상 탐지			
4.3	AI 역할	장문 텍스트	선택	해당 기능에서 AI가 수행하는 역할을 작성한다.	예: 분류, 예측, 생성, 추천, 탐지	흉부 X-ray 이미지에서 폐렴, 부종 등 이상 소견 후보 영역을 탐지하고 위험도를 산출			
4.4	사용자 입력	장문 텍스트	선택	사용자가 기능 실행 시 입력하는 데이터 유형을 작성한다.	예: 텍스트, 이미지, 센서값, 파일	DICOM 영상 파일, 검사 ID, 촬영 장비 메타데이터			
4.5	프로그램 출력	장문 텍스트	선택	기능 실행 후 프로그램이 제공하는 결과 유형을 작성한다.	예: 점수, 라벨, 보고서, 추천 목록	병변 후보 Bounding Box, 위험도 점수, 소견 분류 라벨			
4.6	매뉴얼 위치	장문 텍스트	선택	사용자 매뉴얼 또는 화면 내 기능 확인 위치를 작성한다.	예: p.24, 메뉴명, 화면명. 확대 가능한 입력 영역	사용자 매뉴얼 p.24, 영상 분석 > AI 이상 탐지 화면	사용자 매뉴얼 또는 화면 캡처		
5	기능별 AI 구현 상세								
5.1	기능 번호	자동 입력	필수	04번 AI 기능 목록의 번호를 표시한다.	직접 입력 불가	1			
5.2	04번 기능명	자동 입력	필수	04번 AI 기능 목록의 기능명을 표시한다.	직접 입력 불가	흉부 영상 이상 탐지			
5.3	AI 구현 방식	선택	필수	해당 기능의 AI 구현 방식을 선택한다.	A, B, C, D, E 중 선택	A. 자체 학습 모델			
5.4	AI 연산 자원	텍스트	선택	해당 AI 기능의 추론 또는 학습에 사용되는 연산 자원을 작성한다.	예: NVIDIA A100, RTX 4090, T4, CPU only, NPU, 외부 API 제공	NVIDIA A100 40GB 1대, CPU 16 vCPU	제품 환경 캡처, GPU 사용 로그		
